Provincia.string()	Municipio.string()	Dirección.string()	Margen.string()	Toma de datos.string()	Precio.double()	Rótulo.string()	Tipo venta.string()	Rem.string()	Horario.string()
SANTA CRUZ DE TENERIFE	ARONA	AUTOPISTA DEL SUR, PF 70,5 MARG. IZQ.	N	20/12/2016 00:00	0.859	SHELL LOS CRISTIANOS	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	ARONA	AUTOPISTA TF-1 km 65,5	I	20/12/2016 00:00	0.859	SHELL ARONA	P	OM	L-D: 05:00-00:00
SANTA CRUZ DE TENERIFE	ICOD DE LOS VINOS        	CARRETERA GENERAL C-820 KM. 52,7	N	21/12/2016 13:07	0.859	CEPSA ICOD DE LOS VINOS	P	dm	L-V: 05:30-22:30; S: 06:00-22:30; D: 06:00-22:00
SANTA CRUZ DE TENERIFE	PORIS DE ABONA           	AUTOVIA TF-1 KM. 39	I	17/12/2016 16:34	0.859	REPSOL	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	ARONA	CARRETERA GRAL TF-66(GUAZA-GALLE KM. 2	D	21/12/2016 00:00	0.859	REPSOL	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	ARAFO                    	PLAZA IND VALLE GUIMAR MANZ-, S/N	D	21/12/2016 10:00	0.859	REPSOL	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	EL SAUZAL	CR TF-172, 0,9	D	20/12/2016 20:12	0.862	CEPSA	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	CUESTA, LA               	AVENIDA LOS MENCEYES, 223	D	21/12/2016 10:18	0.868	PCAN	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SANTA URSULA             	CARRETERA VIEJA KM. 213	I	21/12/2016 00:00	0.869	REPSOL	P	dm	L-J: 06:00-00:00; V-S: 06:00-01:00; D: 07:00-00:00
SANTA CRUZ DE TENERIFE	PERDOMA (LA)             	CARRETERA TF-324 KM. 2	D	21/12/2016 10:00	0.869	REPSOL	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	TACORONTE                	CARRETERA GENERAL DEL NORTE KM. 79	D	21/12/2016 00:00	0.869	TGAS TACORONTE	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	GUIA                     	CR  GENERAL DEL NORTE, 272	D	21/12/2016 08:00	0.869	SHELL ACENTEJO	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	EL SAUZAL	CARRETERA GRAL DEL NORTE KM. 20,400	N	21/12/2016 11:30	0.869	DISA EL SAUZAL	P	OM	L-V: 06:00-23:00; S-D: 07:00-23:00
SANTA CRUZ DE TENERIFE	MATANZA DE ACENTEJO (LA) 	CARRETERA GENERAL DEL NORTE C-820 KM. 24,000	N	21/12/2016 11:30	0.869	DISA LA MATANZA	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CARRETERA CRA.GRAL.LA ZAMORA 22 KM. 3,100	N	20/12/2016 00:00	0.869	SHELL LOS REALEJOS	P	OM	L: 06:00-22:00
SANTA CRUZ DE TENERIFE	SANTA URSULA             	CARRETERA GENERAL DEL NORTE KM. 31	N	21/12/2016 10:15	0.869	SHELL SANTA URSULA	P	OM	L-S: 06:00-00:00; D: 07:30-14:00
SANTA CRUZ DE TENERIFE	OROTAVA (LA)	CARRETERA GENERAL DEL NORTE, 173 KM. 173	D	20/12/2016 16:29	0.869	SHELL	P	dm	L-V: 06:00-22:00; S-D: 07:00-22:00
SANTA CRUZ DE TENERIFE	ARONA	CARRETERA DE LAS GALLETAS KM. 91	D	19/12/2016 23:39	0.869	BP	P	dm	L-S: 06:00-21:30; D: 07:00-13:00
SANTA CRUZ DE TENERIFE	SANTO DOMINGO            	AVENIDA OCHO DE AGOSTO, 37	I	19/12/2016 10:26	0.869	DISA           STO DOMINGO	P	dm	L-S: 08:00-20:00; D: 08:00-14:00
SANTA CRUZ DE TENERIFE	SAN CRISTOBAL            	CARRETERA GENERAL DEL NORTE KM. 13200	I	19/12/2016 00:00	0.871	REPSOL	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	VALLE DE GUERRA          	CARRETERA GENERAL KM. 194	D	19/12/2016 00:00	0.871	REPSOL	P	dm	L-D: 06:00-23:00
SANTA CRUZ DE TENERIFE	TACORONTE                	AUTOPISTA AUTOPISTA EL TORREON KM. 11,00	D	20/12/2016 00:00	0.871	BP	P	dm	L-S: 06:00-00:00; D: 08:00-14:00
SANTA CRUZ DE TENERIFE	EL SAUZAL	CARRETERA GENERAL DEL NORTE KM. 20,65	N	19/12/2016 00:01	0.871	BP	P	dm	L-S: 06:00-23:00; D: 07:00-22:00
